Epoch,Train_MSE,Train_MAE,Val_MSE,Val_MAE
1,0.10671,0.25630,0.07016,0.21138
2,0.07632,0.22240,0.06854,0.21323
3,0.07397,0.21956,0.07231,0.20816
4,0.07358,0.21951,0.06863,0.20954
5,0.07228,0.21794,0.07153,0.20654
6,0.07178,0.21719,0.07137,0.20792
7,0.07088,0.21631,0.07061,0.20597
8,0.07019,0.21504,0.06969,0.20473
9,0.06950,0.21404,0.06619,0.20398
10,0.06895,0.21289,0.06710,0.20572
11,0.06856,0.21234,0.06955,0.20364
12,0.06810,0.21148,0.06759,0.20398
13,0.06783,0.21122,0.06948,0.20353
14,0.06752,0.21069,0.07003,0.20483
15,0.06733,0.21031,0.06752,0.20367
16,0.06716,0.21012,0.06855,0.20396
17,0.06711,0.20986,0.06604,0.20363
18,0.06680,0.20956,0.06583,0.20349
19,0.06688,0.20953,0.06506,0.20280
20,0.06665,0.20915,0.06439,0.20182
21,0.06647,0.20901,0.06605,0.20040
22,0.06649,0.20875,0.06414,0.20197
23,0.06624,0.20844,0.06548,0.20389
24,0.06627,0.20865,0.06442,0.20006
25,0.06610,0.20826,0.06743,0.20352
26,0.06585,0.20781,0.06634,0.20417
27,0.06589,0.20769,0.06555,0.20205
28,0.06605,0.20801,0.06610,0.20264
29,0.06585,0.20774,0.06696,0.20086
30,0.06575,0.20772,0.06511,0.20224
31,0.06559,0.20746,0.06489,0.20050
32,0.06554,0.20714,0.06502,0.21000
33,0.06554,0.20718,0.06643,0.20148
34,0.06529,0.20696,0.06539,0.20060
35,0.06523,0.20647,0.06553,0.20255
