Epoch,Train_Loss,Val_Loss,Motion_MSE_Val,Motion_MAE_Val,Caption_Loss_Val
1,1.8759,1.3791,0.0593,0.2036,1.3199
2,1.3423,1.1803,0.0184,0.0832,1.1619
3,1.2228,1.1108,0.0101,0.0594,1.1006
4,1.1481,1.0598,0.0061,0.0479,1.0536
5,1.1012,1.0267,0.0065,0.0491,1.0202
6,1.0674,1.0021,0.0048,0.0387,0.9974
7,1.0405,0.9805,0.0043,0.0313,0.9761
8,1.0210,0.9659,0.0050,0.0429,0.9609
9,1.0035,0.9522,0.0039,0.0297,0.9483
10,0.9891,0.9416,0.0045,0.0344,0.9371
11,0.9753,0.9311,0.0037,0.0287,0.9274
12,0.9624,0.9177,0.0038,0.0332,0.9139
13,0.9493,0.9101,0.0040,0.0343,0.9061
14,0.9402,0.9007,0.0035,0.0301,0.8972
15,0.9318,0.8932,0.0038,0.0321,0.8894
16,0.9238,0.8897,0.0030,0.0256,0.8867
17,0.9176,0.8845,0.0031,0.0268,0.8814
18,0.9108,0.8775,0.0032,0.0292,0.8743
19,0.9047,0.8734,0.0031,0.0279,0.8703
20,0.9002,0.8714,0.0033,0.0283,0.8681
21,0.8941,0.8650,0.0028,0.0240,0.8621
22,0.8896,0.8634,0.0031,0.0270,0.8603
23,0.8855,0.8580,0.0029,0.0240,0.8552
24,0.8803,0.8544,0.0029,0.0230,0.8515
25,0.8764,0.8529,0.0030,0.0261,0.8499
26,0.8723,0.8498,0.0029,0.0245,0.8469
27,0.8682,0.8463,0.0031,0.0274,0.8432
28,0.8645,0.8449,0.0031,0.0282,0.8418
29,0.8614,0.8410,0.0028,0.0248,0.8382
30,0.8582,0.8381,0.0029,0.0246,0.8353
31,0.8553,0.8385,0.0029,0.0239,0.8356
32,0.8524,0.8361,0.0030,0.0251,0.8332
33,0.8500,0.8337,0.0033,0.0309,0.8304
34,0.8468,0.8305,0.0029,0.0256,0.8276
35,0.8441,0.8296,0.0031,0.0274,0.8265
