Epoch,Train_Loss,Val_Loss,Motion_Loss_Val,Caption_Loss_Val
1,6.9157,3.9042,0.0745,3.8296
2,3.6761,3.4965,0.0745,3.4220
3,3.3795,3.2427,0.0744,3.1683
4,3.1424,3.0214,0.0745,2.9469
5,2.9370,2.8320,0.0745,2.7575
6,2.7633,2.6751,0.0745,2.6006
7,2.6198,2.5434,0.0704,2.4730
8,2.4958,2.4338,0.0672,2.3667
9,2.3955,2.3417,0.0663,2.2754
10,2.3064,2.2625,0.0653,2.1971
11,2.2305,2.1935,0.0645,2.1290
12,2.1616,2.1331,0.0635,2.0696
13,2.1039,2.0808,0.0621,2.0187
14,2.0497,2.0308,0.0580,1.9727
15,2.0029,1.9909,0.0587,1.9322
16,1.9578,1.9402,0.0435,1.8967
17,1.9177,1.9164,0.0522,1.8642
18,1.8834,1.8926,0.0573,1.8354
19,1.8482,1.8410,0.0322,1.8088
20,1.8199,1.8122,0.0281,1.7842
21,1.7811,1.7888,0.0275,1.7613
22,1.7561,1.7726,0.0322,1.7405
23,1.7322,1.7477,0.0258,1.7219
24,1.7090,1.7284,0.0250,1.7034
25,1.6896,1.7106,0.0244,1.6861
